Date,Adj Close,Volume,Close_-1,Delta,Delta_Class_Numeric,Close_-1_Delta,AVG_Weighted_Future_Return,Gain_Run,Gain_Loss,7-Day_Delta_AVG,30-Day_Delta_AVG,7-Day_High,30-Day_High,365-Day_High,7-Day_Low,30-Day_Low,365-Day_Low,Diff_from_7-Day_High,Diff_from_7-Day_Low,7-Day_AVG_Price,30-Day_AVG_Price,50-Day_AVG_Price,100-Day_AVG_Price,7-Day_AG_to_30-Day_AVG,30-Day_AG_to_50-Day_AVG,50-Day_AG_to_100-Day_AVG,7_to_30_5-Day_AVG,30_to_50_5-Day_AVG,50_to_100_5-Day_AVG,Year,Month
2021-12-17,46202.144531,32902725329,47665.425781,-0.030699007215902834,0.0,-0.025181582897947263,0.018052327634713615,0.0,0.0,0.0006903183038678003,-0.007113598644326745,50098.335938,60368.01171900001,67566.828125,46612.632813,46612.632813,22803.082031,-0.04856269397871589,0.022586000928623444,48088.05859400002,53455.58802096669,57333.08070323993,54447.17550790998,-0.10041100707490831,-0.0676309843237523,0.05300376315959109,-0.10797136552336964,-0.05849639599875957,0.061331476287782884,2021,12
2021-12-16,47665.425781,27268150947,48896.722656,-0.025181582897947263,0.0,0.04900151965591143,-0.021784617042357502,0.0,0.0,-0.0037247787288567985,-0.008055594324438479,50098.335938,60368.01171900001,67566.828125,46612.632813,46612.632813,21310.597656,-0.023985093706247535,0.04900151965591143,48089.015067285734,53872.115364733356,57549.419921999935,54438.63253915998,-0.10734867673738034,-0.06389820370475748,0.05714301108871965,-0.11180109645474101,-0.053732590657787425,0.06560763193141823,2021,12
2021-12-15,48896.722656,36541828520,46612.632813,0.04900151965591143,1.0,-0.002671253451131458,-0.0317977599590555,0.0,0.0,-0.011275259930701057,-0.010660955757096224,50504.796875,63557.87109400001,67566.828125,46612.632813,46612.632813,19417.076172,-0.07706523543957929,0.0,48318.73995571431,54360.82031266669,57778.76132825994,54476.00066415998,-0.11114770384626649,-0.05915566441749788,0.06062781084942714,-0.11594238550816964,-0.04868578575080128,0.06988795972195436,2021,12
2021-12-14,46612.632813,34638619079,46737.480469,-0.002671253451131458,0.0,-0.06708517171427161,0.02696148289760415,0.0,0.0,-0.010561915181537726,-0.010056263382475034,50700.085938,65466.83984400001,67566.828125,46737.480469,46737.480469,19246.644531,-0.07815776631711781,0.0,48902.66183071431,54989.2938803667,58107.30515637994,54527.408437589984,-0.11068758334839346,-0.053659540183836854,0.06565316088490376,-0.11795266449723496,-0.04355958313369771,0.07450492673479295,2021,12
2021-12-13,46737.480469,32166727776,50098.335938,-0.06708517171427161,0.0,0.014906619570211829,0.004591704245639395,0.0,0.0,0.0025339516055310424,-0.007657161972941647,50700.085938,65466.83984400001,67566.828125,47243.304688,47243.304688,19142.382813,-0.011868816173918653,0.06043250506828304,49451.968192285734,55580.362109533366,58391.17226575994,54559.47988289999,-0.110261856609899,-0.048137587363951705,0.07022963545627336,-0.11765856556269275,-0.03856068139032879,0.07947982881206009,2021,12
2021-12-12,50098.335938,21939223599,49362.507813,0.014906619570211829,1.0,0.04485721604353149,-0.05522371861061147,0.0,0.0,0.0008926520852051641,-0.008561552504438685,50700.085938,65466.83984400001,67566.828125,47243.304688,47243.304688,18803.65625,-0.026382166819908244,0.04485721604353149,49347.755580571444,56048.948958466695,58617.07789075994,54558.75027351999,-0.1195596617317652,-0.0438119576188916,0.07438454137776783,-0.11589373792008821,-0.03365762407750623,0.08468646343695578,2021,12
2021-12-11,49362.507813,25775869261,47243.304688,0.04485721604353149,1.0,-0.008995119079230063,-0.011206355849982103,0.0,1.0,-0.01723643546970152,-0.01008000988691756,50700.085938,65466.83984400001,67566.828125,47243.304688,47243.304688,18058.904297,-0.06818097417482133,0.0,49324.64062514288,56568.53072930003,58843.67304699994,54558.40242194999,-0.1280551220045235,-0.038664179169826715,0.07854465004140027,-0.11049172615808152,-0.028954056325113154,0.08996835323044919,2021,12
2021-12-10,47243.304688,30966005122,47672.121094,-0.008995119079230063,0.0,-0.056087262127019456,0.027202085344940462,0.0,0.0,-0.023235113431138075,-0.010763968164865436,53598.246094,65466.83984400001,67566.828125,47672.121094,47672.121094,18058.904297,-0.11056565152536575,0.0,50232.48939742859,57160.261588666704,59143.01039073993,54574.439648509986,-0.12119909879159303,-0.03352465133198001,0.08371264591362008,-0.10102094345670247,-0.02478241736700012,0.09529131607948252,2021,12
2021-12-09,47672.121094,29603577251,50504.796875,-0.056087262127019456,0.0,-0.003851848756998384,0.007648616699496644,0.0,0.0,-0.017099819668984252,-0.009187929306355359,56477.81640599999,66971.828125,67566.828125,49200.703125,49200.703125,18058.904297,-0.1057586838708842,0.026505591732841723,51490.44587057144,57803.5851563667,59509.42468761993,54569.38531256999,-0.10921708867568237,-0.02866503146699224,0.09052767127123952,-0.09035078156653238,-0.021091119813589385,0.1004390672187738,2021,12
2021-12-08,50504.796875,28479699446,50700.085938,-0.003851848756998384,0.0,0.00232215979301186,-0.047896912322746565,1.0,0.0,-0.015987197201526086,-0.0068278161082778515,57229.828125,67566.828125,67566.828125,49200.703125,49200.703125,18058.904297,-0.11409683378286406,0.030474824906275087,52451.16462057144,58372.3195313667,59784.568593879936,54534.88718756999,-0.10143771839687633,-0.02362230079983891,0.09626280858075181,-0.0806714537123557,-0.01783062506358297,0.10522584446698177,2021,12
